elements,time,type,threads_per_block,blocks_per_grid
5000,1.073056,gpu,32,157
5000,0.935136,gpu,64,79
5000,0.986880,gpu,128,40
5000,0.921024,gpu,256,20
5000,1.238368,gpu,512,10
5000,0.019456,cpu,,
50000,0.188416,cpu,,
50000,1.076416,gpu,32,1563
50000,0.995840,gpu,64,782
50000,1.157600,gpu,128,391
50000,0.990336,gpu,256,196
50000,1.080864,gpu,512,98
500000,1.808384,cpu,,
500000,3.273312,gpu,32,15625
500000,3.073728,gpu,64,7813
500000,3.510112,gpu,128,3907
500000,2.962688,gpu,256,1954
500000,4.000768,gpu,512,977
5000000,24.389631,cpu,,
5000000,12.969472,gpu,32,156250
5000000,12.517504,gpu,64,78125
5000000,13.730528,gpu,128,39063
5000000,12.097664,gpu,256,19532
5000000,12.685152,gpu,512,9766
10000000,49.402882,cpu,,
10000000,31.789600,gpu,32,312500
10000000,23.785185,gpu,64,156250
10000000,26.165279,gpu,128,78125
10000000,24.098751,gpu,256,39063
10000000,28.189184,gpu,512,19532
100000000,447.545349,cpu,,
100000000,372.130005,gpu,32,3125000
100000000,313.858063,gpu,64,1562500
100000000,229.868637,gpu,128,781250
100000000,221.865829,gpu,256,390625
100000000,234.037064,gpu,512,195313
