image;scale;block_size;time
voyager2.pgm;0.100000;8;13.934976
aerosmith.pgm;0.100000;8;4.309568
voyager2.pgm;0.100000;16;14.036416
aerosmith.pgm;0.100000;16;4.114464
voyager2.pgm;0.100000;32;13.901888
aerosmith.pgm;0.100000;32;3.965120
voyager2.pgm;0.100000;64;13.648480
aerosmith.pgm;0.100000;64;4.216960
voyager2.pgm;0.100000;128;14.007040
aerosmith.pgm;0.100000;128;4.735200
voyager2.pgm;0.100000;256;23.715776
aerosmith.pgm;0.100000;256;3.970528
voyager2.pgm;0.100000;512;13.801280
aerosmith.pgm;0.100000;512;4.038752
voyager2.pgm;0.100000;1024;17.954432
aerosmith.pgm;0.100000;1024;4.499328
voyager2.pgm;0.100000;2048;14.873600
aerosmith.pgm;0.100000;2048;4.170720
voyager2.pgm;0.250000;8;14.892672
aerosmith.pgm;0.250000;8;4.340672
voyager2.pgm;0.250000;16;14.395584
aerosmith.pgm;0.250000;16;4.176320
voyager2.pgm;0.250000;32;14.658080
aerosmith.pgm;0.250000;32;4.092384
voyager2.pgm;0.250000;64;16.887169
aerosmith.pgm;0.250000;64;4.118784
voyager2.pgm;0.250000;128;14.080640
aerosmith.pgm;0.250000;128;5.779520
voyager2.pgm;0.250000;256;15.336256
aerosmith.pgm;0.250000;256;4.553792
voyager2.pgm;0.250000;512;14.341920
aerosmith.pgm;0.250000;512;4.419776
voyager2.pgm;0.250000;1024;14.858752
aerosmith.pgm;0.250000;1024;4.095328
voyager2.pgm;0.250000;2048;25.005505
aerosmith.pgm;0.250000;2048;4.081824
voyager2.pgm;0.500000;8;16.004543
aerosmith.pgm;0.500000;8;4.637152
voyager2.pgm;0.500000;16;16.234272
aerosmith.pgm;0.500000;16;4.364608
voyager2.pgm;0.500000;32;16.362335
aerosmith.pgm;0.500000;32;4.537344
voyager2.pgm;0.500000;64;15.750656
aerosmith.pgm;0.500000;64;4.961664
voyager2.pgm;0.500000;128;16.325920
aerosmith.pgm;0.500000;128;4.434208
voyager2.pgm;0.500000;256;24.950592
aerosmith.pgm;0.500000;256;4.692384
voyager2.pgm;0.500000;512;16.092735
aerosmith.pgm;0.500000;512;5.343616
voyager2.pgm;0.500000;1024;16.210943
aerosmith.pgm;0.500000;1024;4.804096
voyager2.pgm;0.500000;2048;16.163937
aerosmith.pgm;0.500000;2048;4.780672
voyager2.pgm;0.750000;8;19.639999
aerosmith.pgm;0.750000;8;5.106176
voyager2.pgm;0.750000;16;18.980576
aerosmith.pgm;0.750000;16;5.567136
voyager2.pgm;0.750000;32;20.134272
aerosmith.pgm;0.750000;32;5.675136
voyager2.pgm;0.750000;64;21.228895
aerosmith.pgm;0.750000;64;4.961024
voyager2.pgm;0.750000;128;18.943487
aerosmith.pgm;0.750000;128;6.357760
voyager2.pgm;0.750000;256;21.820192
aerosmith.pgm;0.750000;256;6.457952
voyager2.pgm;0.750000;512;18.909121
aerosmith.pgm;0.750000;512;5.005312
voyager2.pgm;0.750000;1024;17.869440
aerosmith.pgm;0.750000;1024;4.938400
voyager2.pgm;0.750000;2048;21.400961
aerosmith.pgm;0.750000;2048;4.974816
voyager2.pgm;1.000000;8;23.288992
aerosmith.pgm;1.000000;8;5.898528
voyager2.pgm;1.000000;16;22.092257
aerosmith.pgm;1.000000;16;6.653888
voyager2.pgm;1.000000;32;22.638496
aerosmith.pgm;1.000000;32;6.255936
voyager2.pgm;1.000000;64;22.256895
aerosmith.pgm;1.000000;64;6.015776
voyager2.pgm;1.000000;128;22.022528
aerosmith.pgm;1.000000;128;6.071872
voyager2.pgm;1.000000;256;21.868448
aerosmith.pgm;1.000000;256;5.817216
voyager2.pgm;1.000000;512;22.751392
aerosmith.pgm;1.000000;512;5.846016
voyager2.pgm;1.000000;1024;23.621281
aerosmith.pgm;1.000000;1024;6.578400
voyager2.pgm;1.000000;2048;25.244032
aerosmith.pgm;1.000000;2048;7.288256
voyager2.pgm;1.250000;8;28.240896
aerosmith.pgm;1.250000;8;7.117888
voyager2.pgm;1.250000;16;26.297695
aerosmith.pgm;1.250000;16;7.249376
voyager2.pgm;1.250000;32;26.321953
aerosmith.pgm;1.250000;32;7.392960
voyager2.pgm;1.250000;64;27.365664
aerosmith.pgm;1.250000;64;6.888576
voyager2.pgm;1.250000;128;28.521088
aerosmith.pgm;1.250000;128;7.332384
voyager2.pgm;1.250000;256;30.568672
aerosmith.pgm;1.250000;256;7.467616
voyager2.pgm;1.250000;512;26.861696
aerosmith.pgm;1.250000;512;7.061120
voyager2.pgm;1.250000;1024;27.006336
aerosmith.pgm;1.250000;1024;7.114560
voyager2.pgm;1.250000;2048;26.925823
aerosmith.pgm;1.250000;2048;6.671264
voyager2.pgm;1.500000;8;35.885216
aerosmith.pgm;1.500000;8;7.785568
voyager2.pgm;1.500000;16;32.571072
aerosmith.pgm;1.500000;16;8.281856
voyager2.pgm;1.500000;32;33.063648
aerosmith.pgm;1.500000;32;18.712959
voyager2.pgm;1.500000;64;32.325825
aerosmith.pgm;1.500000;64;8.079872
voyager2.pgm;1.500000;128;31.985409
aerosmith.pgm;1.500000;128;8.107616
voyager2.pgm;1.500000;256;32.358143
aerosmith.pgm;1.500000;256;7.942144
voyager2.pgm;1.500000;512;32.485825
aerosmith.pgm;1.500000;512;8.106400
voyager2.pgm;1.500000;1024;31.824768
aerosmith.pgm;1.500000;1024;8.273216
voyager2.pgm;1.500000;2048;32.720192
aerosmith.pgm;1.500000;2048;8.751872
voyager2.pgm;1.750000;8;38.898560
aerosmith.pgm;1.750000;8;10.635488
voyager2.pgm;1.750000;16;38.489983
aerosmith.pgm;1.750000;16;9.434432
voyager2.pgm;1.750000;32;38.825314
aerosmith.pgm;1.750000;32;9.828864
voyager2.pgm;1.750000;64;41.054016
aerosmith.pgm;1.750000;64;9.522624
voyager2.pgm;1.750000;128;38.391582
aerosmith.pgm;1.750000;128;9.999648
voyager2.pgm;1.750000;256;33.281536
aerosmith.pgm;1.750000;256;9.673824
voyager2.pgm;1.750000;512;36.544479
aerosmith.pgm;1.750000;512;9.617248
voyager2.pgm;1.750000;1024;39.618145
aerosmith.pgm;1.750000;1024;9.561440
voyager2.pgm;1.750000;2048;39.410816
aerosmith.pgm;1.750000;2048;9.401440
voyager2.pgm;2.000000;8;47.341217
aerosmith.pgm;2.000000;8;11.732864
voyager2.pgm;2.000000;16;46.710114
aerosmith.pgm;2.000000;16;11.401664
voyager2.pgm;2.000000;32;47.075359
aerosmith.pgm;2.000000;32;11.654368
voyager2.pgm;2.000000;64;46.718273
aerosmith.pgm;2.000000;64;11.203488
voyager2.pgm;2.000000;128;47.347904
aerosmith.pgm;2.000000;128;11.606496
voyager2.pgm;2.000000;256;43.424831
aerosmith.pgm;2.000000;256;11.295904
voyager2.pgm;2.000000;512;50.319553
aerosmith.pgm;2.000000;512;11.170016
voyager2.pgm;2.000000;1024;36.247551
aerosmith.pgm;2.000000;1024;11.267264
voyager2.pgm;2.000000;2048;46.593407
aerosmith.pgm;2.000000;2048;21.673409
