size;time;type;grid_size;block_size
256;1.270880;optimised_shared;32;8
256;1.390240;optimised_shared;64;8
256;1.323872;optimised_shared;128;8
256;1.281152;optimised_shared;32;8
256;1.244384;optimised_shared;32;8
256;1.491424;optimised_shared;64;8
256;2.215136;optimised_shared;64;8
256;1.364128;optimised_shared;128;8
256;1.206144;optimised_shared;128;8
256;1.434560;optimised_shared;16;8
256;1.108768;optimised_shared;16;8
256;1.193536;optimised_shared;8;8
256;1.165888;optimised_shared;8;8
256;1.145472;optimised_shared;16;16
256;1.215104;optimised_shared;16;16
256;1.214080;optimised_shared;32;16
256;0.761472;optimised_shared;32;16
256;1.370720;optimised_shared;64;16
256;1.192736;optimised_shared;64;16
256;1.093312;optimised_shared;8;16
256;1.137536;optimised_shared;8;16
256;1.646944;optimised_shared;4;16
256;1.286752;optimised_shared;4;16
256;1.088384;optimised_shared;8;32
256;1.151328;optimised_shared;8;32
256;1.110848;optimised_shared;16;32
256;1.140064;optimised_shared;16;32
256;1.221376;optimised_shared;32;32
256;1.457344;optimised_shared;32;32
256;1.130464;optimised_shared;4;32
256;1.134112;optimised_shared;4;32
256;1.193696;optimised_shared;2;32
256;1.819872;optimised_shared;2;32
256;1.042784;optimised_shared;4;64
256;1.069696;optimised_shared;4;64
256;1.100960;optimised_shared;8;64
256;1.044672;optimised_shared;8;64
256;1.221376;optimised_shared;16;64
256;1.200288;optimised_shared;16;64
256;0.968096;optimised_shared;2;64
256;1.070080;optimised_shared;2;64
256;0.946144;optimised_shared;1;64
256;1.256704;optimised_shared;1;64
256;1.014784;optimised_shared;2;128
256;1.132640;optimised_shared;2;128
256;1.057888;optimised_shared;4;128
256;1.050432;optimised_shared;4;128
256;1.208416;optimised_shared;8;128
256;1.244096;optimised_shared;8;128
256;1.074496;optimised_shared;1;128
256;1.069472;optimised_shared;1;128
256;1.123968;optimised_shared;0;128
256;1.072064;optimised_shared;0;128
256;1.089152;optimised_shared;1;256
256;1.250656;optimised_shared;1;256
256;1.420672;optimised_shared;2;256
256;1.058464;optimised_shared;2;256
256;1.088288;optimised_shared;4;256
256;1.113280;optimised_shared;4;256
256;1.062400;optimised_shared;0;256
256;1.076384;optimised_shared;0;256
256;1.186368;optimised_shared;0;256
256;1.002912;optimised_shared;0;256
256;1.113760;optimised_shared;0;512
256;1.076672;optimised_shared;0;512
256;1.182016;optimised_shared;1;512
256;1.117440;optimised_shared;1;512
256;1.073472;optimised_shared;2;512
256;1.109472;optimised_shared;2;512
256;1.165472;optimised_shared;0;512
256;1.126272;optimised_shared;0;512
256;1.108576;optimised_shared;0;512
256;1.018112;optimised_shared;0;512
256;1.181504;optimised_shared;0;1024
256;1.137088;optimised_shared;0;1024
256;1.069408;optimised_shared;0;1024
256;1.187104;optimised_shared;0;1024
256;1.054624;optimised_shared;1;1024
256;1.099264;optimised_shared;1;1024
256;1.088832;optimised_shared;0;1024
256;1.156224;optimised_shared;0;1024
256;1.149952;optimised_shared;0;1024
256;1.017760;optimised_shared;0;1024
256;1.053152;optimised_shared;0;2048
256;1.185568;optimised_shared;0;2048
256;1.261152;optimised_shared;0;2048
256;1.062912;optimised_shared;0;2048
256;1.100448;optimised_shared;0;2048
256;1.061792;optimised_shared;0;2048
256;1.142656;optimised_shared;0;2048
256;1.113024;optimised_shared;0;2048
256;1.186304;optimised_shared;0;2048
256;1.060480;optimised_shared;0;2048
512;2.019360;optimised_shared;64;8
512;1.929568;optimised_shared;64;8
512;0.000000;optimised_shared;128;8
512;0.000000;optimised_shared;128;8
512;0.000000;optimised_shared;256;8
512;0.000000;optimised_shared;256;8
512;1.931328;optimised_shared;32;8
512;2.028608;optimised_shared;32;8
512;2.227232;optimised_shared;16;8
512;1.913216;optimised_shared;16;8
512;2.059840;optimised_shared;32;16
512;1.884064;optimised_shared;32;16
512;0.000000;optimised_shared;64;16
512;0.000000;optimised_shared;64;16
512;0.000000;optimised_shared;128;16
512;0.000000;optimised_shared;128;16
512;2.063360;optimised_shared;16;16
512;2.043808;optimised_shared;16;16
512;1.903840;optimised_shared;8;16
512;2.131136;optimised_shared;8;16
512;1.950656;optimised_shared;16;32
512;1.655936;optimised_shared;16;32
512;0.000000;optimised_shared;32;32
512;0.000000;optimised_shared;32;32
512;0.000000;optimised_shared;64;32
512;0.000000;optimised_shared;64;32
512;2.951872;optimised_shared;8;32
512;1.962976;optimised_shared;8;32
512;2.130432;optimised_shared;4;32
512;2.196512;optimised_shared;4;32
512;1.871168;optimised_shared;8;64
512;2.074304;optimised_shared;8;64
512;1.907904;optimised_shared;16;64
512;1.792544;optimised_shared;16;64
512;1.874144;optimised_shared;32;64
512;2.005792;optimised_shared;32;64
512;1.823264;optimised_shared;4;64
512;1.998848;optimised_shared;4;64
512;1.864192;optimised_shared;2;64
512;1.933568;optimised_shared;2;64
512;2.057760;optimised_shared;4;128
512;1.898688;optimised_shared;4;128
512;1.620576;optimised_shared;8;128
512;1.948736;optimised_shared;8;128
512;2.005568;optimised_shared;16;128
512;1.835328;optimised_shared;16;128
512;1.514272;optimised_shared;2;128
512;1.930912;optimised_shared;2;128
512;1.987552;optimised_shared;1;128
512;1.849088;optimised_shared;1;128
512;1.812608;optimised_shared;2;256
512;2.076128;optimised_shared;2;256
512;1.791456;optimised_shared;4;256
512;1.459680;optimised_shared;4;256
512;1.879680;optimised_shared;8;256
512;1.889696;optimised_shared;8;256
512;1.907136;optimised_shared;1;256
512;1.959808;optimised_shared;1;256
512;1.891680;optimised_shared;0;256
512;1.897920;optimised_shared;0;256
512;1.789664;optimised_shared;1;512
512;1.808288;optimised_shared;1;512
512;2.055072;optimised_shared;2;512
512;1.560544;optimised_shared;2;512
512;1.767200;optimised_shared;4;512
512;1.951456;optimised_shared;4;512
512;1.846336;optimised_shared;0;512
512;1.871968;optimised_shared;0;512
512;1.833760;optimised_shared;0;512
512;1.898752;optimised_shared;0;512
512;1.799456;optimised_shared;0;1024
512;2.054528;optimised_shared;0;1024
512;1.884896;optimised_shared;1;1024
512;1.856960;optimised_shared;1;1024
512;1.581536;optimised_shared;2;1024
512;1.890496;optimised_shared;2;1024
512;1.716512;optimised_shared;0;1024
512;1.793856;optimised_shared;0;1024
512;1.841280;optimised_shared;0;1024
512;1.938528;optimised_shared;0;1024
512;1.963680;optimised_shared;0;2048
512;1.899776;optimised_shared;0;2048
512;1.690688;optimised_shared;0;2048
512;2.196928;optimised_shared;0;2048
512;1.853280;optimised_shared;1;2048
512;1.587104;optimised_shared;1;2048
512;1.893824;optimised_shared;0;2048
512;1.988352;optimised_shared;0;2048
512;2.121408;optimised_shared;0;2048
512;2.130144;optimised_shared;0;2048
1024;4.124512;optimised_shared;128;8
1024;5.217248;optimised_shared;128;8
1024;0.000000;optimised_shared;256;8
1024;0.000000;optimised_shared;256;8
1024;0.000000;optimised_shared;512;8
1024;0.000000;optimised_shared;512;8
1024;5.790176;optimised_shared;64;8
1024;5.339328;optimised_shared;64;8
1024;4.903168;optimised_shared;32;8
1024;4.999872;optimised_shared;32;8
1024;3.786624;optimised_shared;64;16
1024;3.970976;optimised_shared;64;16
1024;0.000000;optimised_shared;128;16
1024;0.000000;optimised_shared;128;16
1024;0.000000;optimised_shared;256;16
1024;0.000000;optimised_shared;256;16
1024;5.816256;optimised_shared;32;16
1024;5.193568;optimised_shared;32;16
1024;5.392640;optimised_shared;16;16
1024;4.495488;optimised_shared;16;16
1024;5.442112;optimised_shared;32;32
1024;5.832320;optimised_shared;32;32
1024;0.000000;optimised_shared;64;32
1024;0.000000;optimised_shared;64;32
1024;0.000000;optimised_shared;128;32
1024;0.000000;optimised_shared;128;32
1024;5.283424;optimised_shared;16;32
1024;5.141248;optimised_shared;16;32
1024;6.029376;optimised_shared;8;32
1024;5.006048;optimised_shared;8;32
1024;5.081152;optimised_shared;16;64
1024;4.956672;optimised_shared;16;64
1024;5.304256;optimised_shared;32;64
1024;5.192416;optimised_shared;32;64
1024;5.453312;optimised_shared;64;64
1024;4.761728;optimised_shared;64;64
1024;5.234912;optimised_shared;8;64
1024;5.046656;optimised_shared;8;64
1024;5.063520;optimised_shared;4;64
1024;5.564064;optimised_shared;4;64
1024;5.325984;optimised_shared;8;128
1024;6.232224;optimised_shared;8;128
1024;13.844000;optimised_shared;16;128
1024;5.291264;optimised_shared;16;128
1024;4.552128;optimised_shared;32;128
1024;5.000448;optimised_shared;32;128
1024;3.737792;optimised_shared;4;128
1024;4.949984;optimised_shared;4;128
1024;5.478976;optimised_shared;2;128
1024;4.071840;optimised_shared;2;128
1024;4.916064;optimised_shared;4;256
1024;4.828928;optimised_shared;4;256
1024;5.111776;optimised_shared;8;256
1024;5.279616;optimised_shared;8;256
1024;5.073600;optimised_shared;16;256
1024;4.566112;optimised_shared;16;256
1024;5.118656;optimised_shared;2;256
1024;5.113536;optimised_shared;2;256
1024;5.330752;optimised_shared;1;256
1024;4.514368;optimised_shared;1;256
1024;5.001856;optimised_shared;2;512
1024;5.041504;optimised_shared;2;512
1024;5.173952;optimised_shared;4;512
1024;5.300768;optimised_shared;4;512
1024;4.045024;optimised_shared;8;512
1024;5.280672;optimised_shared;8;512
1024;5.005280;optimised_shared;1;512
1024;5.336288;optimised_shared;1;512
1024;4.944704;optimised_shared;0;512
1024;5.100512;optimised_shared;0;512
1024;5.178368;optimised_shared;1;1024
1024;4.402688;optimised_shared;1;1024
1024;4.085856;optimised_shared;2;1024
1024;3.857056;optimised_shared;2;1024
1024;5.227264;optimised_shared;4;1024
