size;time;type;grid_size;block_size
256;1.543744;shared;32;8
256;1.454848;optimised_shared;32;8
256;1.761344;shared;16;16
256;1.322976;optimised_shared;16;16
256;1.331040;shared;8;32
256;1.422464;optimised_shared;8;32
256;1.155360;shared;4;64
256;1.185568;optimised_shared;4;64
256;1.230272;shared;2;128
256;1.027872;optimised_shared;2;128
256;1.430112;shared;1;256
256;1.134432;optimised_shared;1;256
256;1.075328;shared;0;512
256;1.289600;optimised_shared;0;512
256;1.154432;shared;0;1024
256;1.240800;optimised_shared;0;1024
256;1.108000;shared;0;2048
256;1.255520;optimised_shared;0;2048
512;1.885696;shared;64;8
512;2.044448;optimised_shared;64;8
512;2.363680;shared;32;16
512;1.684480;optimised_shared;32;16
512;2.224800;shared;16;32
512;1.910752;optimised_shared;16;32
512;2.037056;shared;8;64
512;1.898752;optimised_shared;8;64
512;2.549376;shared;4;128
512;1.845536;optimised_shared;4;128
512;1.970880;shared;2;256
512;1.926208;optimised_shared;2;256
512;2.179328;shared;1;512
512;2.547008;optimised_shared;1;512
512;2.138432;shared;0;1024
512;1.895744;optimised_shared;0;1024
512;1.940256;shared;0;2048
512;2.107456;optimised_shared;0;2048
1024;5.470208;shared;128;8
1024;5.313952;optimised_shared;128;8
1024;6.075520;shared;64;16
1024;5.447872;optimised_shared;64;16
1024;5.406528;shared;32;32
1024;4.161888;optimised_shared;32;32
1024;5.267232;shared;16;64
1024;3.836992;optimised_shared;16;64
1024;5.308000;shared;8;128
1024;3.839776;optimised_shared;8;128
1024;4.320128;shared;4;256
1024;5.559008;optimised_shared;4;256
1024;6.109696;shared;2;512
1024;5.699840;optimised_shared;2;512
1024;5.195712;shared;1;1024
1024;5.606432;optimised_shared;1;1024
1024;5.886496;shared;0;2048
1024;3.938048;optimised_shared;0;2048
2048;18.452513;shared;256;8
2048;18.276384;optimised_shared;256;8
2048;16.999647;shared;128;16
2048;17.358496;optimised_shared;128;16
2048;13.354560;shared;64;32
2048;18.239296;optimised_shared;64;32
2048;11.857536;shared;32;64
2048;14.674304;optimised_shared;32;64
2048;17.611616;shared;16;128
2048;16.999359;optimised_shared;16;128
2048;17.377825;shared;8;256
2048;16.768896;optimised_shared;8;256
2048;17.065472;shared;4;512
2048;17.706367;optimised_shared;4;512
2048;14.264736;shared;2;1024
2048;17.023905;optimised_shared;2;1024
2048;17.410433;shared;1;2048
2048;15.215584;optimised_shared;1;2048
4096;76.002083;shared;512;8
4096;49.943871;optimised_shared;512;8
4096;74.150467;shared;256;16
4096;74.610626;optimised_shared;256;16
4096;74.599396;shared;128;32
4096;62.614689;optimised_shared;128;32
4096;47.683136;shared;64;64
4096;66.525795;optimised_shared;64;64
4096;75.540962;shared;32;128
4096;106.269661;optimised_shared;32;128
4096;45.473793;shared;16;256
4096;55.582783;optimised_shared;16;256
4096;57.703136;shared;8;512
4096;65.228767;optimised_shared;8;512
4096;81.665504;shared;4;1024
4096;84.664925;optimised_shared;4;1024
4096;53.307999;shared;2;2048
4096;47.916897;optimised_shared;2;2048
8192;282.801636;shared;1024;8
8192;198.495712;optimised_shared;1024;8
8192;250.793884;shared;512;16
8192;238.425507;optimised_shared;512;16
8192;205.216263;shared;256;32
8192;270.701202;optimised_shared;256;32
8192;231.287491;shared;128;64
8192;282.217926;optimised_shared;128;64
8192;193.517029;shared;64;128
8192;351.490662;optimised_shared;64;128
8192;190.781433;shared;32;256
8192;293.421051;optimised_shared;32;256
8192;248.004990;shared;16;512
8192;228.599426;optimised_shared;16;512
8192;416.782623;shared;8;1024
8192;267.607880;optimised_shared;8;1024
8192;197.282303;shared;4;2048
8192;209.444641;optimised_shared;4;2048
16384;2229.500977;shared;2048;8
16384;1090.509766;optimised_shared;2048;8
16384;1197.894775;shared;1024;16
16384;1565.342773;optimised_shared;1024;16
16384;1650.019531;shared;512;32
16384;1679.145020;optimised_shared;512;32
16384;2178.071289;shared;256;64
16384;984.810547;optimised_shared;256;64
16384;1099.203247;shared;128;128
16384;1443.938110;optimised_shared;128;128
16384;1263.985718;shared;64;256
16384;911.026978;optimised_shared;64;256
16384;954.606384;shared;32;512
16384;900.996582;optimised_shared;32;512
16384;822.848755;shared;16;1024
16384;1025.398315;optimised_shared;16;1024
16384;771.508911;shared;8;2048
16384;839.814392;optimised_shared;8;2048
256;1.147200;naive;32;8
256;1.225472;optimised_naive;32;8
256;1.233824;naive;16;16
256;1.242240;optimised_naive;16;16
256;1.439904;naive;8;32
256;1.412000;optimised_naive;8;32
256;1.204736;naive;4;64
256;1.222752;optimised_naive;4;64
256;1.144288;naive;2;128
256;1.189184;optimised_naive;2;128
256;1.127904;naive;1;256
256;1.116704;optimised_naive;1;256
256;1.157600;naive;0;512
256;1.200544;optimised_naive;0;512
256;1.373056;naive;0;1024
256;1.736448;optimised_naive;0;1024
256;1.146848;naive;0;2048
256;1.371232;optimised_naive;0;2048
512;2.142816;naive;64;8
512;2.119008;optimised_naive;64;8
512;2.088320;naive;32;16
512;2.067040;optimised_naive;32;16
512;2.248160;naive;16;32
512;1.802464;optimised_naive;16;32
512;1.938240;naive;8;64
512;1.900512;optimised_naive;8;64
512;1.867296;naive;4;128
512;1.847104;optimised_naive;4;128
512;1.523904;naive;2;256
512;1.883008;optimised_naive;2;256
512;1.844576;naive;1;512
512;1.960736;optimised_naive;1;512
512;1.918656;naive;0;1024
512;1.961600;optimised_naive;0;1024
512;2.034976;naive;0;2048
512;1.939744;optimised_naive;0;2048
1024;5.437088;naive;128;8
1024;5.683488;optimised_naive;128;8
1024;5.339264;naive;64;16
1024;4.481824;optimised_naive;64;16
1024;5.194688;naive;32;32
1024;5.397568;optimised_naive;32;32
1024;4.963808;naive;16;64
1024;5.234816;optimised_naive;16;64
1024;5.008288;naive;8;128
1024;4.953184;optimised_naive;8;128
1024;5.163456;naive;4;256
1024;5.393920;optimised_naive;4;256
1024;5.490112;naive;2;512
1024;5.225952;optimised_naive;2;512
1024;4.886912;naive;1;1024
1024;5.232288;optimised_naive;1;1024
1024;5.471488;naive;0;2048
1024;3.981472;optimised_naive;0;2048
2048;14.498176;naive;256;8
2048;16.041311;optimised_naive;256;8
2048;12.193568;naive;128;16
2048;17.546783;optimised_naive;128;16
2048;15.872800;naive;64;32
2048;17.747488;optimised_naive;64;32
2048;17.333183;naive;32;64
2048;11.738016;optimised_naive;32;64
2048;14.342880;naive;16;128
2048;16.805759;optimised_naive;16;128
2048;15.469792;naive;8;256
2048;13.321760;optimised_naive;8;256
2048;16.583776;naive;4;512
2048;16.416191;optimised_naive;4;512
2048;11.602048;naive;2;1024
2048;11.989216;optimised_naive;2;1024
2048;17.272320;naive;1;2048
2048;17.721920;optimised_naive;1;2048
4096;57.756096;naive;512;8
4096;51.373505;optimised_naive;512;8
4096;51.324738;naive;256;16
4096;57.798592;optimised_naive;256;16
4096;64.638718;naive;128;32
4096;50.896671;optimised_naive;128;32
4096;50.920834;naive;64;64
4096;52.521759;optimised_naive;64;64
4096;59.574528;naive;32;128
4096;63.400257;optimised_naive;32;128
4096;66.952766;naive;16;256
4096;55.448864;optimised_naive;16;256
4096;68.139549;naive;8;512
4096;52.432064;optimised_naive;8;512
4096;51.932865;naive;4;1024
4096;50.967808;optimised_naive;4;1024
4096;70.440704;naive;2;2048
4096;47.473377;optimised_naive;2;2048
8192;237.059906;naive;1024;8
8192;218.974686;optimised_naive;1024;8
8192;275.064728;naive;512;16
8192;214.678909;optimised_naive;512;16
8192;221.320923;naive;256;32
8192;270.538940;optimised_naive;256;32
8192;223.757950;naive;128;64
8192;247.311462;optimised_naive;128;64
8192;225.259232;naive;64;128
8192;257.130371;optimised_naive;64;128
8192;192.497787;naive;32;256
8192;223.585602;optimised_naive;32;256
8192;221.125351;naive;16;512
8192;246.960892;optimised_naive;16;512
8192;226.850174;naive;8;1024
8192;177.180954;optimised_naive;8;1024
8192;200.525543;naive;4;2048
8192;245.242279;optimised_naive;4;2048
16384;1149.033691;naive;2048;8
16384;1011.531128;optimised_naive;2048;8
16384;860.379211;naive;1024;16
16384;917.709167;optimised_naive;1024;16
16384;1436.050171;naive;512;32
16384;1534.291138;optimised_naive;512;32
16384;1366.079224;naive;256;64
16384;865.259888;optimised_naive;256;64
16384;759.250061;naive;128;128
16384;782.705566;optimised_naive;128;128
16384;828.752075;naive;64;256
16384;852.826416;optimised_naive;64;256
16384;942.344727;naive;32;512
16384;773.357971;optimised_naive;32;512
16384;816.043213;naive;16;1024
16384;877.844238;optimised_naive;16;1024
16384;866.508179;naive;8;2048
16384;1009.972778;optimised_naive;8;2048
