type,size,time,bandwidth
global,8,238.264,0.000004
global,10,287.613,0.000014
global,12,338.949,0.000048
global,14,377.928,0.000173
global,16,426.874,0.000614
global,20,522.798,0.008023
global,24,615.894,0.108962
global,28,702.750,1.527915
global,30,766.724,5.601713
shared,8,53.739,0.000019
shared,10,74.334,0.000055
shared,12,71.204,0.000230
shared,14,71.102,0.000922
shared,16,71.771,0.003653
shared,18,94.431,0.011104
shared,20,95.261,0.044030
shared,22,94.584,0.177379
shared,24,95.200,0.704923
shared,26,117.324,2.287985
shared,28,117.686,9.123750
shared,30,119.324,35.994137
global,18,479.861,0.002185
global,22,567.461,0.029565
global,26,670.393,0.400415
