type,bin_count,time
naive,10,525.965
naive,50,514.439
naive,100,513.118
naive,500,514.585
naive,1000,508.227
simple,10,513.550
simple,50,523.405
simple,100,539.536
simple,500,509.033
simple,1000,498.961
naive,10,525.681
naive,10,509.793
naive,10,510.008
naive,10,523.505
naive,10,543.006
naive,10,499.596
naive,10,493.337
naive,10,457.276
naive,10,529.717
naive,10,531.096
naive,50,543.726
naive,50,505.344
naive,50,542.665
naive,50,512.993
naive,50,556.726
naive,50,521.952
naive,50,542.406
naive,50,514.705
naive,50,520.726
naive,50,568.130
naive,100,525.389
naive,100,499.738
naive,100,546.270
naive,100,522.256
naive,100,510.363
naive,100,505.607
naive,100,514.159
naive,100,508.890
naive,100,518.026
naive,100,509.041
naive,500,505.266
naive,500,510.354
naive,500,501.609
naive,500,509.600
naive,500,509.497
naive,500,499.218
naive,500,474.575
naive,500,510.328
naive,500,446.684
naive,500,481.111
naive,1000,515.211
naive,1000,596.394
naive,1000,505.727
naive,1000,518.151
naive,1000,510.749
naive,1000,514.881
naive,1000,502.820
naive,1000,495.789
naive,1000,469.575
naive,1000,503.111
simple,10,511.738
simple,10,504.029
simple,10,508.857
simple,10,505.462
simple,10,509.420
simple,10,506.869
simple,10,518.349
simple,10,541.195
simple,10,539.713
simple,10,516.423
simple,50,524.284
simple,50,530.123
simple,50,454.142
simple,50,503.179
simple,50,502.254
simple,50,511.522
simple,50,505.132
simple,50,519.374
simple,50,486.726
simple,50,493.209
simple,100,497.870
simple,100,502.436
simple,100,514.370
simple,100,500.439
simple,100,505.424
simple,100,508.782
simple,100,500.349
simple,100,508.361
simple,100,503.249
simple,100,507.255
simple,500,507.149
simple,500,487.377
simple,500,504.416
simple,500,495.302
simple,500,507.120
simple,500,503.883
simple,500,503.383
simple,500,587.683
simple,500,595.981
simple,500,524.327
simple,1000,511.369
simple,1000,531.135
simple,1000,534.356
simple,1000,527.499
simple,1000,545.439
simple,1000,519.064
simple,1000,503.864
simple,1000,505.767
simple,1000,460.031
simple,1000,522.264
