type;size;b;cap
buffered ; 1 ; 3500 ; 146832.943248
buffered ; 2 ; 3500 ; 287219.443478
buffered ; 4 ; 3500 ; 581989.750553
buffered ; 8 ; 3500 ; 1244976.61969
buffered ; 16 ; 3500 ; 2543934.80979
buffered ; 32 ; 3500 ; 2985541.29741
buffered ; 64 ; 3500 ; 2702254.58389
buffered ; 128 ; 3500 ; 5470424.83171
buffered ; 256 ; 3500 ; 45360417.1289
buffered ; 512 ; 3500 ; 54985912.4562
buffered ; 1024 ; 3500 ; 144631172.414
buffered ; 2048 ; 3500 ; 231203999.84
buffered ; 4096 ; 3500 ; 465452971.661
buffered ; 8192 ; 3500 ; 553887179.231
buffered ; 16384 ; 3500 ; 391000623.564
buffered ; 24576 ; 3500 ; 1915722555.11
buffered ; 28000 ; 3500 ; 2009592466.99
buffered ; 32768 ; 1000 ; 2081322392.91
buffered ; 40960 ; 1000 ; 2444889130.12
buffered ; 49152 ; 1000 ; 2803165145.2
buffered ; 57344 ; 1000 ; 2930885449.89
buffered ; 65536 ; 1000 ; 2989767402.3
buffered ; 73728 ; 1000 ; 4034855700.03
sync ; 1 ; 3500 ; 40706.8387295
sync ; 2 ; 3500 ; 56141.0921221
sync ; 4 ; 3500 ; 109537.299963
sync ; 8 ; 3500 ; 227009.388331
sync ; 16 ; 3500 ; 1358302.26836
sync ; 32 ; 3500 ; 913463.10772
sync ; 64 ; 3500 ; 1763252.7397
sync ; 128 ; 3500 ; 3628019.6355
sync ; 256 ; 3500 ; 6982423.98488
sync ; 512 ; 3500 ; 18381763.4106
sync ; 1024 ; 3500 ; 23339463.7487
sync ; 2048 ; 3500 ; 72266643.644
sync ; 4096 ; 3500 ; 106653627.635
sync ; 8192 ; 3500 ; 141351616.705
sync ; 16384 ; 3500 ; 1150116765.46
sync ; 24576 ; 3500 ; 451816639.687
sync ; 28000 ; 3500 ; 2013498088.66
sync ; 32768 ; 1000 ; 433181308.897
sync ; 40960 ; 1000 ; 2353553834.65
sync ; 49152 ; 1000 ; 2816232532.31
sync ; 57344 ; 1000 ; 3303934456.21
sync ; 65536 ; 1000 ; 2286685636.1
sync ; 73728 ; 1000 ; 1012628962.88
