n_proc;sum;n_points;pi;time
1 ; 3928860 ; 5000000 ; 3.143088 ; 3.59954977036
2 ; 3925915 ; 5000000 ; 3.140732 ; 1.84596586227
3 ; 3927824 ; 5000000 ; 3.1422592 ; 1.27562570572
4 ; 3926815 ; 5000000 ; 3.141452 ; 0.924365758896
5 ; 3926867 ; 5000000 ; 3.1414936 ; 0.780654907227
6 ; 3927415 ; 5000000 ; 3.141932 ; 0.624270439148
7 ; 3927936 ; 5000000 ; 3.1423488 ; 0.548220396042
8 ; 3926621 ; 5000000 ; 3.1412968 ; 0.486360311508
9;3928301 ; 5000000 ; 3.1426408 ; 0.490775346756
10 ; 3927343 ; 5000000 ; 3.1418744 ; 0.385511875153
11 ;3927553 ; 5000000 ; 3.1420424 ; 0.35521364212
12 ;3926335 ; 5000000 ; 3.141068 ; 0.331927061081
1 ;7852430 ; 10000000 ; 3.140972 ; 7.305570364
2; 7856070 ; 10000000 ; 3.142428 ; 3.90074777603
3;7853407 ; 10000000 ; 3.1413628 ; 2.57861042023
4;7851099 ; 10000000 ; 3.1404396 ; 1.83562088013
5;7854201 ; 10000000 ; 3.1416804 ; 1.54917168617
6;7853341 ; 10000000 ; 3.1413364 ; 1.24603700638
7;7854381 ; 10000000 ; 3.1417524 ; 1.07965278625
8;7854157 ; 10000000 ; 3.1416628 ; 1.78610897064
9;7855111 ; 10000000 ; 3.1420444 ; 1.74250817299
10 ;7851839 ; 10000000 ; 3.1407356 ; 1.43167233467
11 ;7852965 ; 10000000 ; 3.141186 ; 1.35402584076
12 ;7855376 ; 10000000 ; 3.1421504 ; 1.46353769302
1 ;15706359 ; 20000000 ; 3.1412718 ; 14.503683567
2 ;15710341 ; 20000000 ; 3.1420682 ; 7.68693399429
3 ;15710401 ; 20000000 ; 3.1420802 ; 5.34548592567
4 ;15705673 ; 20000000 ; 3.1411346 ; 3.76072359085
5 ;15707058 ; 20000000 ; 3.1414116 ; 3.12299060822
6; 15707880 ; 20000000 ; 3.141576 ; 2.62145256996
7;15709619 ; 20000000 ; 3.1419238 ; 2.21846222878
8;15705863 ; 20000000 ; 3.1411726 ; 3.81643795967
9;15706250 ; 20000000 ; 3.14125 ; 2.11079621315
10;15708055 ; 20000000 ; 3.141611 ; 3.06313204765
11; 15707966 ; 20000000 ; 3.1415932 ; 2.63336658478
12; 15710992 ; 20000000 ; 3.1421984 ; 1.28764891624
1; 0 ; 40000000 ; 0  ; 32.840184
2; 31414014 ; 40000000 ; 3.1414014 ; 14.5389409065
3; 31418178 ; 40000000 ; 3.1418178 ; 9.74807715416
4; 31415995 ; 40000000 ; 3.1415995 ; 7.62017130852
5; 31418124 ; 40000000 ; 3.1418124 ; 6.01305055618
6; 31417130 ; 40000000 ; 3.141713 ; 4.91031289101
7; 31416031 ; 40000000 ; 3.1416031 ; 4.29728913307
8; 31419454 ; 40000000 ; 3.1419454 ; 3.97546362877
9; 31420267 ; 40000000 ; 3.1420267 ; 3.38329911232
10; 31417162 ; 40000000 ; 3.1417162 ; 3.11895513535
11; 31414468 ; 40000000 ; 3.1414468 ; 2.84018421173
12; 31413087 ; 40000000 ; 3.1413087 ; 3.92469573021
1; 62833505 ; 80000000 ; 3.14167525 ; 58.0868964195
2; 62829484 ; 80000000 ; 3.1414742 ; 29.3305792809
3; 62832520 ; 80000000 ; 3.141626 ; 20.5471339226
4; 62829572 ; 80000000 ; 3.1414786 ; 15.4558706284
5; 62834372 ; 80000000 ; 3.1417186 ; 12.3957982063
6; 62835891 ; 80000000 ; 3.14179455 ; 9.89385890961
7; 62831695 ; 80000000 ; 3.14158475 ; 8.65101647377
8; 62831267 ; 80000000 ; 3.14156335 ; 7.69547772408
