type,chunk_size,table_size,cpu_count,time
static,1000000,1000000,1,0.009775
dynamic,1,1000000,1,0.019312
dynamic,1000,1000000,1,0.009710
dynamic,1000000,1000000,1,0.009638
guided,1,1000000,1,0.009603
static,1000000,1000000,1,0.010476
dynamic,1,1000000,1,0.018496
dynamic,1000,1000000,1,0.009643
dynamic,1000000,1000000,1,0.009611
guided,1,1000000,1,0.009661
static,1000000,1000000,1,0.009608
dynamic,1,1000000,1,0.018689
dynamic,1000,1000000,1,0.009636
dynamic,1000000,1000000,1,0.009697
guided,1,1000000,1,0.009614
static,1000000,1000000,1,0.009576
dynamic,1,1000000,1,0.018482
dynamic,1000,1000000,1,0.009682
dynamic,1000000,1000000,1,0.009645
guided,1,1000000,1,0.009610
static,1000000,1000000,1,0.009598
dynamic,1,1000000,1,0.018382
dynamic,1000,1000000,1,0.009640
dynamic,1000000,1000000,1,0.009644
guided,1,1000000,1,0.009622
static,1000000,1000000,1,0.010487
dynamic,1,1000000,1,0.018419
dynamic,1000,1000000,1,0.009617
dynamic,1000000,1000000,1,0.009662
guided,1,1000000,1,0.010538
static,1000000,1000000,1,0.009630
dynamic,1,1000000,1,0.018413
dynamic,1000,1000000,1,0.009683
dynamic,1000000,1000000,1,0.009671
guided,1,1000000,1,0.009640
static,1000000,1000000,1,0.009570
dynamic,1,1000000,1,0.018429
dynamic,1000,1000000,1,0.009666
dynamic,1000000,1000000,1,0.009636
guided,1,1000000,1,0.009645
static,1000000,1000000,1,0.009641
dynamic,1,1000000,1,0.018387
dynamic,1000,1000000,1,0.009634
dynamic,1000000,1000000,1,0.009658
guided,1,1000000,1,0.009701
static,1000000,1000000,1,0.009630
dynamic,1,1000000,1,0.018411
dynamic,1000,1000000,1,0.009660
dynamic,1000000,1000000,1,0.009699
guided,1,1000000,1,0.009642
static,500000,1000000,2,0.005193
dynamic,1,1000000,2,0.048807
dynamic,1000,1000000,2,0.005138
dynamic,500000,1000000,2,0.005274
guided,1,1000000,2,0.004875
static,500000,1000000,2,0.005136
dynamic,1,1000000,2,0.048163
dynamic,1000,1000000,2,0.005191
dynamic,500000,1000000,2,0.005212
guided,1,1000000,2,0.004904
static,500000,1000000,2,0.005023
dynamic,1,1000000,2,0.048014
