threads, array_size, random_gen, put_to_buckets, sort_buckets, bucket_offsets, write_to_array, all
1, 1000, 0.000024, 0.000016, 0.000024, 0.000002, 0.000004, 0.000070
1, 10000, 0.000109, 0.000138, 0.000221, 0.000010, 0.000041, 0.000519
1, 100000, 0.001109, 0.003757, 0.002105, 0.000122, 0.000505, 0.007599
1, 1000000, 0.014763, 0.030013, 0.003781, 0.000816, 0.003405, 0.052778
1, 10000000, 0.086398, 0.343603, 0.032911, 0.008888, 0.027535, 0.499335
1, 100000000, 0.874746, 3.812462, 0.288293, 0.081258, 0.261155, 5.317915
1, 1000000000, 8.763161, 72.318130, 11.198534, 0.823996, 2.893074, 95.996895
2, 1000, 0.000059, 0.000036, 0.000027, 0.000024, 0.000009, 0.000155
2, 10000, 0.000085, 0.000154, 0.000119, 0.000021, 0.000036, 0.000417
2, 100000, 0.000455, 0.001014, 0.000874, 0.000092, 0.000177, 0.002612
2, 1000000, 0.004301, 0.014526, 0.001651, 0.000564, 0.001741, 0.022783
2, 10000000, 0.042792, 0.168573, 0.017797, 0.006708, 0.016272, 0.252143
2, 100000000, 0.428648, 2.002979, 0.145872, 0.053291, 0.130427, 2.761217
2, 1000000000, 4.449275, 23.451632, 1.619624, 0.776940, 1.344683, 31.642154
3, 1000, 0.000179, 0.000026, 0.000028, 0.000016, 0.000010, 0.000259
3, 10000, 0.000065, 0.000144, 0.000128, 0.000085, 0.000048, 0.000470
3, 100000, 0.001068, 0.001828, 0.000604, 0.000100, 0.000189, 0.003789
3, 1000000, 0.002962, 0.007141, 0.001181, 0.000545, 0.001114, 0.012943
3, 10000000, 0.028716, 0.119433, 0.011235, 0.006472, 0.010599, 0.176455
3, 100000000, 0.290131, 1.341407, 0.098821, 0.046036, 0.087226, 1.863623
3, 1000000000, 2.972276, 50.198522, 1.074028, 0.509037, 0.927860, 55.681723
4, 1000, 0.000240, 0.000047, 0.000099, 0.000091, 0.000065, 0.000545
4, 10000, 0.000080, 0.000321, 0.000121, 0.000120, 0.000064, 0.000707
4, 100000, 0.000267, 0.002485, 0.000507, 0.000173, 0.000182, 0.003614
4, 1000000, 0.002258, 0.026720, 0.001196, 0.002304, 0.000930, 0.033408
4, 10000000, 0.022034, 0.271334, 0.009419, 0.003983, 0.007890, 0.314660
4, 100000000, 0.219368, 1.478158, 0.074279, 0.040782, 0.065771, 1.878359
4, 1000000000, 2.272802, 29.219611, 0.918411, 0.491900, 0.757259, 33.659984
5, 1000, 0.000229, 0.000089, 0.000078, 0.000188, 0.000039, 0.000623
5, 10000, 0.000061, 0.000387, 0.000128, 0.000191, 0.000077, 0.000844
5, 100000, 0.000247, 0.002586, 0.000428, 0.000191, 0.000150, 0.003602
5, 1000000, 0.001847, 0.019563, 0.001016, 0.002272, 0.000793, 0.025493
5, 10000000, 0.018073, 0.244321, 0.007065, 0.004045, 0.006370, 0.279875
5, 100000000, 0.176062, 2.489917, 0.061008, 0.039298, 0.054443, 2.820728
5, 1000000000, 1.959520, 33.856873, 0.733187, 0.475788, 0.592607, 37.617975
6, 1000, 0.000261, 0.000072, 0.000056, 0.000132, 0.000080, 0.000602
6, 10000, 0.000083, 0.000346, 0.000145, 0.000107, 0.000084, 0.000765
6, 100000, 0.000250, 0.002645, 0.000412, 0.000204, 0.000134, 0.003645
6, 1000000, 0.001533, 0.023470, 0.000929, 0.000458, 0.000659, 0.027049
6, 10000000, 0.015558, 0.263655, 0.005905, 0.004947, 0.005391, 0.295457
6, 100000000, 0.147957, 2.677024, 0.051151, 0.039101, 0.047196, 2.962430
6, 1000000000, 1.666008, 28.585310, 0.646164, 0.424381, 0.484346, 31.806210
7, 1000, 0.000267, 0.000099, 0.000083, 0.000128, 0.000069, 0.000646
7, 10000, 0.000083, 0.000325, 0.000122, 0.000197, 0.000061, 0.000789
7, 100000, 0.000221, 0.002300, 0.000591, 0.000243, 0.000099, 0.003454
7, 1000000, 0.001325, 0.020878, 0.000802, 0.002061, 0.000583, 0.025649
7, 10000000, 0.012728, 0.231776, 0.009798, 0.003883, 0.004423, 0.262608
7, 100000000, 0.127879, 2.355717, 0.043392, 0.037116, 0.040334, 2.604439
7, 1000000000, 1.730857, 22.913294, 0.612940, 0.420939, 0.419743, 26.097775
8, 1000, 0.000272, 0.000104, 0.000101, 0.000158, 0.000074, 0.000710
8, 10000, 0.000097, 0.000306, 0.000086, 0.000141, 0.000111, 0.000741
8, 100000, 0.000197, 0.001950, 0.000340, 0.000186, 0.000248, 0.002921
8, 1000000, 0.001202, 0.016394, 0.000788, 0.002259, 0.000534, 0.021178
8, 10000000, 0.011129, 0.191185, 0.005186, 0.005566, 0.004223, 0.217290
8, 100000000, 0.116793, 1.837809, 0.040088, 0.036096, 0.035589, 2.066376
8, 1000000000, 1.308614, 20.955825, 0.552297, 0.482399, 0.428761, 23.727896
9, 1000, 0.000212, 0.000084, 0.000121, 0.000211, 0.000111, 0.000740
9, 10000, 0.000079, 0.000390, 0.000122, 0.000183, 0.000106, 0.000881
9, 100000, 0.000259, 0.002108, 0.000489, 0.000219, 0.000143, 0.003219
9, 1000000, 0.001992, 0.018005, 0.001052, 0.000670, 0.000858, 0.022578
9, 10000000, 0.014493, 0.198322, 0.006899, 0.005818, 0.007340, 0.232872
9, 100000000, 0.120196, 1.829143, 0.052572, 0.045343, 0.037048, 2.084302
9, 1000000000, 1.443471, 22.251858, 0.731158, 0.484077, 0.516478, 25.427042
10, 1000, 0.000273, 0.000120, 0.000100, 0.000161, 0.000095, 0.000750
10, 10000, 0.000098, 0.000359, 0.000162, 0.000200, 0.000127, 0.000946
10, 100000, 0.000255, 0.002167, 0.000427, 0.000207, 0.000159, 0.003215
10, 1000000, 0.001228, 0.018864, 0.001180, 0.000759, 0.000754, 0.022786
10, 10000000, 0.015833, 0.189752, 0.006774, 0.008490, 0.006316, 0.227165
10, 100000000, 0.145817, 1.670205, 0.053096, 0.047804, 0.037186, 1.954109
10, 1000000000, 1.406223, 20.323353, 0.552599, 0.528781, 0.385673, 23.196631
1, 1000, 0.000012, 0.000026, 0.000018, 0.000002, 0.000003, 0.000061
1, 10000, 0.000083, 0.000104, 0.000166, 0.000008, 0.000031, 0.000393
1, 100000, 0.000834, 0.001238, 0.001550, 0.000074, 0.000306, 0.004002
1, 1000000, 0.008179, 0.026770, 0.003174, 0.000729, 0.002946, 0.041799
1, 10000000, 0.083379, 0.475616, 0.037596, 0.008795, 0.032470, 0.637856
1, 100000000, 0.828723, 3.342973, 0.284012, 0.076150, 0.262287, 4.794145
1, 1000000000, 8.802872, 39.200247, 3.223188, 0.910570, 2.620809, 54.757686
2, 1000, 0.000239, 0.000023, 0.000025, 0.000023, 0.000007, 0.000318
2, 10000, 0.000067, 0.000158, 0.000116, 0.000021, 0.000025, 0.000387
2, 100000, 0.000455, 0.000974, 0.000846, 0.000112, 0.000190, 0.002577
2, 1000000, 0.004291, 0.009426, 0.001671, 0.000569, 0.001566, 0.017523
2, 10000000, 0.042720, 0.204553, 0.016878, 0.005443, 0.015739, 0.285334
2, 100000000, 0.425597, 1.987729, 0.143901, 0.051334, 0.129129, 2.737692
2, 1000000000, 4.448053, 29.515514, 1.584464, 0.618446, 1.380715, 37.547192
3, 1000, 0.000228, 0.000023, 0.000024, 0.000031, 0.000018, 0.000325
3, 10000, 0.000079, 0.000459, 0.000117, 0.000040, 0.000029, 0.000725
3, 100000, 0.000354, 0.001002, 0.000671, 0.000128, 0.000179, 0.002335
3, 1000000, 0.002918, 0.023770, 0.001450, 0.002408, 0.001269, 0.031815
3, 10000000, 0.029330, 0.172377, 0.012044, 0.005134, 0.010989, 0.229874
3, 100000000, 0.290156, 2.175013, 0.099004, 0.043734, 0.087274, 2.695183
3, 1000000000, 3.005781, 45.349696, 1.144520, 0.467847, 0.933988, 50.901832
4, 1000, 0.000193, 0.000024, 0.000025, 0.000025, 0.000013, 0.000280
4, 10000, 0.000077, 0.000145, 0.000099, 0.000039, 0.000045, 0.000405
4, 100000, 0.000277, 0.000690, 0.000477, 0.000119, 0.000132, 0.001695
4, 1000000, 0.002252, 0.015747, 0.000946, 0.000519, 0.001023, 0.020487
