threads; random_gen; put_to_buckets; sort_buckets; bucket_offsets; write_to_array
1; 8.596682; 39.482880; 3.336848; 0.809154; 2.578774
2; 4.466490; 26.738759; 1.855692; 0.803102; 1.339499
3; 3.034029; 23.731689; 1.237454; 0.507530; 0.904372
4; 2.383106; 32.736920; 1.061083; 0.447797; 0.681085
5; 1.987717; 28.604596; 0.992788; 0.456258; 0.559955
6; 1.748596; 26.543124; 0.690189; 0.320561; 0.469506
7; 1.568740; 21.801351; 0.897072; 0.356673; 0.469558
8; 1.489022; 19.085922; 0.776729; 0.356631; 0.426671
9; 1.397088; 20.184608; 0.460726; 0.414296; 0.413426
10; 1.498668; 20.168792; 0.477908; 0.385467; 0.415818
