n_proc;sum;n_points;pi;time_calc;time
1 ; 3927441 ; 5000000 ; 3.1419528 ; 3.58526206017 ; 0.000118732452393
2 ; 3928195 ; 5000000 ; 3.142556 ; 1.82789063454 ; 0.000245094299316
3 ; 3927657 ; 5000000 ; 3.1421256 ; 1.29736423492 ; 0.000272512435913
4 ; 3926324 ; 5000000 ; 3.1410592 ; 0.973529338837 ; 0.000392436981201
5 ; 3927398 ; 5000000 ; 3.1419184 ; 0.922924995422 ; 0.000386476516724
6 ; 3927547 ; 5000000 ; 3.1420376 ; 0.644064903259 ; 0.00137448310852
7 ; 3926672 ; 5000000 ; 3.1413376 ; 0.551000356674 ; 0.000695943832397
8 ; 3927155 ; 5000000 ; 3.141724 ; 0.478516340256 ; 0.00127387046814
9 ; 3926291 ; 5000000 ; 3.1410328 ; 0.421950340271 ; 0.00141477584839
10 ; 3927211 ; 5000000 ; 3.1417688 ; 0.386506795883 ; 0.00145411491394
11 ; 3927897 ; 5000000 ; 3.1423176 ; 0.498291492462 ; 0.00154542922974
12 ; 3926355 ; 5000000 ; 3.141084 ; 0.760605573654 ; 0.00177407264709
1 ; 7854435 ; 10000000 ; 3.141774 ; 7.205275774 ; 0.000128030776978
2 ; 7853938 ; 10000000 ; 3.1415752 ; 3.84192848206 ; 0.000176429748535
3 ; 7854355 ; 10000000 ; 3.141742 ; 2.57015800476 ; 0.000326871871948
4 ; 7854306 ; 10000000 ; 3.1417224 ; 1.93109250069 ; 0.000444889068604
5 ; 7855385 ; 10000000 ; 3.142154 ; 1.54407978058 ; 0.000452041625977
6 ; 7853931 ; 10000000 ; 3.1415724 ; 1.22454428673 ; 0.0014111995697
7 ; 7855725 ; 10000000 ; 3.14229 ; 1.10206866264 ; 0.000661849975586
8 ; 7854251 ; 10000000 ; 3.1417004 ; 0.957654953003 ; 0.00149083137512
9 ; 7852411 ; 10000000 ; 3.1409644 ; 0.85910820961 ; 0.00159502029419
10 ; 7852602 ; 10000000 ; 3.1410408 ; 0.772099971771 ; 0.00168895721436
11 ; 7855092 ; 10000000 ; 3.1420368 ; 0.721332788467 ; 0.00162315368652
12 ; 7852606 ; 10000000 ; 3.1410424 ; 0.635949373245 ; 0.00172805786133
1 ; 15708567 ; 20000000 ; 3.1417134 ; 14.4088213444 ; 0.000118732452393
2 ; 15708825 ; 20000000 ; 3.141765 ; 7.68785119057 ; 0.000185966491699
3 ; 15707381 ; 20000000 ; 3.1414762 ; 5.1537270546 ; 0.000346183776855
4 ; 15706487 ; 20000000 ; 3.1412974 ; 3.75613093376 ; 0.000419616699219
5 ; 15706089 ; 20000000 ; 3.1412178 ; 2.91181826591 ; 0.000491857528687
6 ; 15707314 ; 20000000 ; 3.1414628 ; 2.40997076035 ; 0.0013165473938
7 ; 15709001 ; 20000000 ; 3.1418002 ; 2.20940423012 ; 0.000556945800781
8 ; 15705603 ; 20000000 ; 3.1411206 ; 1.94101381302 ; 0.00148797035217
9 ; 15707288 ; 20000000 ; 3.1414576 ; 1.72888016701 ; 0.00188779830933
10 ; 15708796 ; 20000000 ; 3.1417592 ; 1.54461121559 ; 0.00166654586792
11 ; 15710349 ; 20000000 ; 3.1420698 ; 1.41480898857 ; 0.00149178504944
12 ; 15708421 ; 20000000 ; 3.1416842 ; 1.27620792389 ; 0.00155568122864
1 ; 31414263 ; 40000000 ; 3.1414263 ; 28.9089636803 ; 0.000118970870972
2 ; 31416134 ; 40000000 ; 3.1416134 ; 14.4886617661 ; 0.000242948532104
3 ; 31415557 ; 40000000 ; 3.1415557 ; 9.74175047874 ; 0.000271558761597
4 ; 31417205 ; 40000000 ; 3.1417205 ; 7.73307991028 ; 0.000551223754883
5 ; 31416561 ; 40000000 ; 3.1416561 ; 10.7373659611 ; 0.000542163848877
6 ; 31416365 ; 40000000 ; 3.1416365 ; 4.88178777695 ; 0.00137662887573
7 ; 31413532 ; 40000000 ; 3.1413532 ; 4.42867541313 ; 0.000701665878296
8 ; 31412341 ; 40000000 ; 3.1412341 ; 3.99903559685 ; 0.00160264968872
9 ; 31411221 ; 40000000 ; 3.1411221 ; 3.43459320068 ; 0.0019257068634
10 ; 31419715 ; 40000000 ; 3.1419715 ; 3.07547616959 ; 0.00181412696838
11 ; 31412776 ; 40000000 ; 3.1412776 ; 2.68232965469 ; 0.00163412094116
12 ; 31413949 ; 40000000 ; 3.1413949 ; 2.56078505516 ; 0.00180315971375
1 ; 62827309 ; 80000000 ; 3.14136545 ; 57.7087788582 ; 0.000152349472046
2 ; 62829971 ; 80000000 ; 3.14149855 ; 28.9272179604 ; 0.000230312347412
3 ; 62836160 ; 80000000 ; 3.141808 ; 19.4918813705 ; 0.000314474105835
4 ; 62835377 ; 80000000 ; 3.14176885 ; 15.4430906773 ; 0.000437021255493
5 ; 62832989 ; 80000000 ; 3.14164945 ; 20.1810600758 ; 0.000472068786621
6 ; 62822425 ; 80000000 ; 3.14112125 ; 21.2945408821 ; 0.00154280662537
7 ; 62831601 ; 80000000 ; 3.14158005 ; 11.116686821 ; 0.00058388710022
8 ; 62824327 ; 80000000 ; 3.14121635 ; 9.51101136208 ; 0.0169084072113
9 ; 62832372 ; 80000000 ; 3.1416186 ; 13.4580011368 ; 0.0097918510437
10 ; 62828623 ; 80000000 ; 3.14143115 ; 12.0317528248 ; 0.00948357582092
11 ; 62828763 ; 80000000 ; 3.14143815 ; 10.5957734585 ; 0.00160074234009
12 ; 62828678 ; 80000000 ; 3.1414339 ; 5.20746159554 ; 0.00164389610291
1 ; 125660655 ; 160000000 ; 3.141516375 ; 115.615839005 ; 0.00014066696167
2 ; 125664985 ; 160000000 ; 3.141624625 ; 58.8839933872 ; 0.000389575958252
3 ; 125658932 ; 160000000 ; 3.1414733 ; 39.0579473972 ; 0.000319242477417
4 ; 125657042 ; 160000000 ; 3.14142605 ; 30.7373945713 ; 0.00150990486145
5 ; 125663435 ; 160000000 ; 3.141585875 ; 48.113140583 ; 0.000489950180054
6 ; 125673421 ; 160000000 ; 3.141835525 ; 33.6816720963 ; 0.0205411911011
7 ; 125667677 ; 160000000 ; 3.141691925 ; 28.3881013393 ; 0.00161290168762
8 ; 125657120 ; 160000000 ; 3.141428 ; 21.4583899975 ; 0.00173616409302
9 ; 125655827 ; 160000000 ; 3.141395675 ; 25.5459861755 ; 0.00175452232361
10 ; 125661262 ; 160000000 ; 3.14153155 ; 21.5362536907 ; 0.019984960556
11 ; 125662696 ; 160000000 ; 3.1415674 ; 21.7239370346 ; 0.00207328796387
12 ; 125657177 ; 160000000 ; 3.141429425 ; 20.553797245 ; 0.0134170055389
1 ; 502646332 ; 640000000 ; 3.141539575 ; 462.967615366 ; 0.000165462493896
2 ; 502659774 ; 640000000 ; 3.1416235875 ; 249.325162649 ; 0.000282764434814
3 ; 502622154 ; 640000000 ; 3.1413884625 ; 156.110185146 ; 0.000289678573608
4 ; 502658745 ; 640000000 ; 3.14161715625 ; 115.42828536 ; 0.000424385070801
5 ; 502657098 ; 640000000 ; 3.1416068625 ; 141.132805586 ; 0.000419616699219
6 ; 502668251 ; 640000000 ; 3.14167656875 ; 133.650158644 ; 0.0017716884613
7 ; 502665592 ; 640000000 ; 3.14165995 ; 119.663883209 ; 0.00157284736633
8 ; 502660121 ; 640000000 ; 3.14162575625 ; 60.7399551868 ; 0.000318288803101
9 ; 502666575 ; 640000000 ; 3.14166609375 ; 87.1842536926 ; 0.000560760498047
10 ; 502678739 ; 640000000 ; 3.14174211875 ; 76.6104362011 ; 0.00587511062622
11 ; 502652244 ; 640000000 ; 3.141576525 ; 70.3239073753 ; 0.0114269256592
12 ; 502651292 ; 640000000 ; 3.141570575 ; 48.6757862568 ; 0.00234436988831
